label x y z xscale yscale zscale xrot yrot zrot
vegetation -50 54.687 -385 54.687 54.687 54.687 0 0 0
vegetation -50 50.0382 -440 50.0382 50.0382 50.0382 0 0 0
vegetation -50 79.3838 -495 79.3838 79.3838 79.3838 0 0 0
vegetation -50 50.8939 -550 50.8939 50.8939 50.8939 0 0 0
vegetation -50 61.6416 -605 61.6416 61.6416 61.6416 0 0 0
vegetation -50 49.7108 -660 49.7108 49.7108 49.7108 0 0 0
vegetation -50 48.7876 -715 48.7876 48.7876 48.7876 0 0 0
vegetation -50 87.9527 -770 87.9527 87.9527 87.9527 0 0 0
vegetation -50 53.6033 -825 53.6033 53.6033 53.6033 0 0 0
vegetation -50 66.569 -880 66.569 66.569 66.569 0 0 0
vegetation -50 80.9209 -935 80.9209 80.9209 80.9209 0 0 0
vegetation -50 70.9562 -990 70.9562 70.9562 70.9562 0 0 0
vegetation -50 57.0254 -1045 57.0254 57.0254 57.0254 0 0 0
vegetation -50 72.0523 -1100 72.0523 72.0523 72.0523 0 0 0
vegetation -50 67.0686 -1155 67.0686 67.0686 67.0686 0 0 0
vegetation -50 65.7177 -1210 65.7177 65.7177 65.7177 0 0 0
vegetation -50 86.8021 -1265 86.8021 86.8021 86.8021 0 0 0
vegetation -50 56.8707 -1320 56.8707 56.8707 56.8707 0 0 0
vegetation -50 77.9397 -1375 77.9397 77.9397 77.9397 0 0 0
vegetation -50 67.1768 -1430 67.1768 67.1768 67.1768 0 0 0
vegetation -50 77.8762 -1485 77.8762 77.8762 77.8762 0 0 0
vegetation -50 61.6101 -1540 61.6101 61.6101 61.6101 0 0 0
vegetation -50 83.2273 -1595 83.2273 83.2273 83.2273 0 0 0
vegetation -50 56.4658 -1650 56.4658 56.4658 56.4658 0 0 0
vegetation -50 59.5082 -1705 59.5082 59.5082 59.5082 0 0 0
vegetation -50 79.5399 -1760 79.5399 79.5399 79.5399 0 0 0
vegetation -50 84.4372 -1815 84.4372 84.4372 84.4372 0 0 0
vegetation -50 47.0692 -1870 47.0692 47.0692 47.0692 0 0 0
vegetation -50 85.7704 -1925 85.7704 85.7704 85.7704 0 0 0
vegetation -50 67.1438 -1980 67.1438 67.1438 67.1438 0 0 0
vegetation -50 47.7865 -2035 47.7865 47.7865 47.7865 0 0 0
vegetation -50 52.4574 -2090 52.4574 52.4574 52.4574 0 0 0
vegetation -50 73.182 -2145 73.182 73.182 73.182 0 0 0
vegetation -50 83.1702 -2200 83.1702 83.1702 83.1702 0 0 0
vegetation -50 59.3513 -2255 59.3513 59.3513 59.3513 0 0 0
vegetation -50 46.8235 -2310 46.8235 46.8235 46.8235 0 0 0
vegetation -50 44.881 -2365 44.881 44.881 44.881 0 0 0
vegetation -50 64.1389 -2420 64.1389 64.1389 64.1389 0 0 0
vegetation -50 46.7762 -2475 46.7762 46.7762 46.7762 0 0 0
vegetation -50 54.4843 -2530 54.4843 54.4843 54.4843 0 0 0
vegetation -50 86.7079 -2585 86.7079 86.7079 86.7079 0 0 0
vegetation -50 83.6972 -2640 83.6972 83.6972 83.6972 0 0 0
vegetation -50 81.4405 -2695 81.4405 81.4405 81.4405 0 0 0
vegetation -50 55.7333 -2750 55.7333 55.7333 55.7333 0 0 0
vegetation -50 67.7495 -2805 67.7495 67.7495 67.7495 0 0 0
vegetation -50 60.5091 -2860 60.5091 60.5091 60.5091 0 0 0
vegetation -50 77.4509 -2915 77.4509 77.4509 77.4509 0 0 0
vegetation -50 66.5516 -2970 66.5516 66.5516 66.5516 0 0 0
vegetation -50 73.3798 -3025 73.3798 73.3798 73.3798 0 0 0
vegetation -50 67.3907 -3080 67.3907 67.3907 67.3907 0 0 0
vegetation -50 45.7283 -3135 45.7283 45.7283 45.7283 0 0 0
vegetation -50 63.2561 -3190 63.2561 63.2561 63.2561 0 0 0
vegetation -50 85.0007 -3245 85.0007 85.0007 85.0007 0 0 0
vegetation -50 84.9556 -3300 84.9556 84.9556 84.9556 0 0 0
vegetation -50 75.7219 -3355 75.7219 75.7219 75.7219 0 0 0
vegetation -50 56.5089 -3410 56.5089 56.5089 56.5089 0 0 0
vegetation -50 76.4955 -3465 76.4955 76.4955 76.4955 0 0 0
vegetation -50 72.1591 -3520 72.1591 72.1591 72.1591 0 0 0
vegetation -50 59.5781 -3575 59.5781 59.5781 59.5781 0 0 0
vegetation -50 74.2659 -3630 74.2659 74.2659 74.2659 0 0 0
vegetation -50 51.3029 -3685 51.3029 51.3029 51.3029 0 0 0
vegetation -50 63.3646 -3740 63.3646 63.3646 63.3646 0 0 0
vegetation -50 82.7233 -3795 82.7233 82.7233 82.7233 0 0 0
vegetation -50 80.4848 -3850 80.4848 80.4848 80.4848 0 0 0
vegetation -50 58.5348 -3905 58.5348 58.5348 58.5348 0 0 0
vegetation -50 54.0746 -3960 54.0746 54.0746 54.0746 0 0 0
vegetation -50 83.3084 -4015 83.3084 83.3084 83.3084 0 0 0
vegetation -50 59.4158 -4070 59.4158 59.4158 59.4158 0 0 0
vegetation -50 74.2135 -4125 74.2135 74.2135 74.2135 0 0 0
vegetation -50 86.0846 -4180 86.0846 86.0846 86.0846 0 0 0
vegetation -50 69.9002 -4235 69.9002 69.9002 69.9002 0 0 0
vegetation -50 72.9214 -4290 72.9214 72.9214 72.9214 0 0 0
vegetation -50 81.7818 -4345 81.7818 81.7818 81.7818 0 0 0
vegetation -50 63.3406 -4400 63.3406 63.3406 63.3406 0 0 0
vegetation -50 84.6547 -4455 84.6547 84.6547 84.6547 0 0 0
vegetation -50 61.5312 -4510 61.5312 61.5312 61.5312 0 0 0
vegetation -50 79.8497 -4565 79.8497 79.8497 79.8497 0 0 0
vegetation -50 74.1056 -4620 74.1056 74.1056 74.1056 0 0 0
vegetation -50 84.0828 -4675 84.0828 84.0828 84.0828 0 0 0
vegetation -50 65.2296 -4730 65.2296 65.2296 65.2296 0 0 0
vegetation -50 53.4963 -4785 53.4963 53.4963 53.4963 0 0 0
vegetation -50 85.8111 -4840 85.8111 85.8111 85.8111 0 0 0
vegetation -50 84.4856 -4895 84.4856 84.4856 84.4856 0 0 0
vegetation -50 50.497 -4950 50.497 50.497 50.497 0 0 0
vegetation -50 82.7667 -5005 82.7667 82.7667 82.7667 0 0 0
vegetation -50 72.2076 -5060 72.2076 72.2076 72.2076 0 0 0
vegetation -50 63.006 -5115 63.006 63.006 63.006 0 0 0
vegetation -50 71.2622 -5170 71.2622 71.2622 71.2622 0 0 0
vegetation -50 56.3666 -5225 56.3666 56.3666 56.3666 0 0 0
vegetation -50 78.5841 -5280 78.5841 78.5841 78.5841 0 0 0
vegetation -50 57.5281 -5335 57.5281 57.5281 57.5281 0 0 0
vegetation -50 63.6695 -5390 63.6695 63.6695 63.6695 0 0 0
vegetation -50 53.9487 -5445 53.9487 53.9487 53.9487 0 0 0
vegetation -50 52.2515 -5500 52.2515 52.2515 52.2515 0 0 0
vegetation -50 56.1543 -5555 56.1543 56.1543 56.1543 0 0 0
vegetation -50 68.4835 -5610 68.4835 68.4835 68.4835 0 0 0
vegetation -50 62.3261 -5665 62.3261 62.3261 62.3261 0 0 0
vegetation -50 51.4627 -5720 51.4627 51.4627 51.4627 0 0 0
vegetation -50 83.8994 -5775 83.8994 83.8994 83.8994 0 0 0
vegetation -50 48.5395 -5830 48.5395 48.5395 48.5395 0 0 0
vegetation -50 49.5473 -5885 49.5473 49.5473 49.5473 0 0 0
vegetation -50 65.7995 -5940 65.7995 65.7995 65.7995 0 0 0
vegetation -50 77.4609 -5995 77.4609 77.4609 77.4609 0 0 0
vegetation -50 87.3291 -6050 87.3291 87.3291 87.3291 0 0 0
vegetation -50 85.1402 -6105 85.1402 85.1402 85.1402 0 0 0
vegetation -50 74.1156 -6160 74.1156 74.1156 74.1156 0 0 0
vegetation -50 74.1156 -30 74.1156 74.1156 74.1156 0 0 0
